1867.333,97.840,43.862,0.609,6,"332,344,388,393,405,420"
11629.250,6.478,2.405,0.493,8,"360,372,372,378,380,415,440,453"
641.600,6.232,1.606,0.456,5,"361,384,386,420,435"
6682.571,39.843,23.461,0.604,7,"337,343,377,384,390,407,429"
906.275,5563.384,469.455,0.102,167,"332,332,334,335,336,337,338,339,339,340,341,341,343,343,344,347,347,348,350,350,351,354,355,355,356,357,358,360,361,362,362,363,364,365,366,367,368,369,370,371,372,373,374,375,375,376,376,377,378,379,380,381,382,383,384,385,386,387,388,389,389,390,390,391,392,393,394,394,395,396,396,397,397,397,397,398,398,399,400,401,402,403,403,404,405,406,406,406,406,407,408,408,409,409,409,410,410,410,411,411,412,412,412,413,413,413,413,414,415,415,416,417,418,419,420,420,421,422,423,424,425,426,427,428,429,429,430,430,430,432,433,433,434,435,435,436,437,437,439,440,441,442,443,443,443,446,447,448,449,450,450,450,451,452,453,454,454,455,455,455,456,457,458,460,461,462,463"
176.000,113.379,12.221,0.275,14,"334,339,373,394,395,396,399,401,402,403,412,417,419,427"
716.200,133.472,39.461,0.425,20,"332,340,347,348,350,351,355,362,365,368,387,391,398,414,421,425,432,450,454,455"
951.874,5969.091,216.268,0.083,174,"332,334,335,336,337,338,339,340,340,341,343,344,347,348,350,350,351,351,353,354,355,356,357,358,360,361,362,363,364,365,366,367,368,369,370,371,372,372,372,373,374,375,375,376,376,377,377,378,379,380,380,380,381,382,383,384,384,385,385,386,387,388,389,390,391,391,392,393,394,395,396,396,397,397,397,397,398,398,399,400,401,402,403,404,404,405,406,407,407,407,408,408,409,409,409,410,410,411,412,413,414,414,415,415,416,416,416,416,417,418,419,420,421,422,422,423,424,425,426,426,426,426,426,427,428,429,430,430,432,432,433,433,433,434,435,436,437,438,439,440,441,441,442,442,443,446,447,447,448,449,449,450,450,451,452,453,453,454,455,455,455,456,456,457,458,459,459,460,460,460,461,462,462,463"
6406.364,25.835,7.804,0.552,11,"336,377,385,388,401,404,404,404,404,407,432"
972.909,198.948,29.259,0.260,22,"332,334,335,336,337,338,339,339,340,341,343,344,347,348,350,351,360,420,437,450,451,463"
658.333,31.401,4.353,0.248,18,"337,344,350,363,374,379,382,385,404,409,435,436,439,447,449,452,460,462"
142.600,93.452,41.567,0.512,10,"344,384,385,386,387,388,389,390,394,399"
7716.769,42.492,17.443,0.420,26,"341,348,350,377,383,384,389,390,390,394,397,400,402,407,414,420,421,428,433,438,440,441,443,449,451,463"
855.111,11.892,3.040,0.401,9,"393,395,396,398,399,401,417,432,455"
6140.000,13.132,5.193,0.465,7,"383,391,395,396,399,403,416"
758.667,21.135,5.728,0.409,9,"372,386,389,390,399,435,435,441,455"
5894.333,7.726,1.898,0.421,6,"377,378,383,408,410,414"
892.737,32.259,3.861,0.242,19,"337,340,347,350,373,374,385,405,406,409,410,411,424,428,429,433,452,462,462"
7084.600,14.096,2.778,0.358,10,"332,384,386,395,404,407,425,435,450,456"
1218.667,89.672,21.498,0.303,18,"334,334,339,344,350,384,385,386,387,389,390,391,399,400,401,420,436,461"
270.533,65.859,20.089,0.436,15,"339,344,344,384,384,385,386,387,388,388,389,391,392,392,399"
8075.200,8.307,2.705,0.726,5,"446,446,446,451,451"
6906.857,20.574,13.024,0.632,7,"374,386,395,407,407,410,411"
1982.500,97.107,34.261,0.531,8,"344,344,382,393,404,407,453,462"
2076.000,12.312,5.844,0.563,5,"338,417,425,425,432"
2878.800,18.421,7.487,0.804,5,"425,427,433,433,433"
797.667,8.075,2.898,0.505,6,"382,390,399,414,432,437"
7639.200,7.351,1.555,0.514,5,"351,357,379,458,458"
62832.667,16.538,4.780,0.420,6,"351,357,405,416,440,451"
